window_id,video_id,film_flag,clap_sing,singing_prob,var_db,stratum,human_label,annotator_note,forced_flag_sing
tMvCw-t6-Uc_004,tMvCw-t6-Uc,1,2.7719574,0.2407769709825515,-2.4676,both_high,unset,,1
tMvCw-t6-Uc_005,tMvCw-t6-Uc,1,2.6629467,0.2730673551559448,3.3595,both_high,unset,,0
uMm5I9C7MDQ_005,uMm5I9C7MDQ,1,-1.9341258,0.0022727856412529,42.6645,mid,unset,,1
uMm5I9C7MDQ_009,uMm5I9C7MDQ,1,-3.1325693,0.0012955155689269,36.9819,mid,unset,,0
uMm5I9C7MDQ_014,uMm5I9C7MDQ,1,-2.3045022,0.0220467559993267,7.6098,panns_high_only,unset,,0
uMm5I9C7MDQ_015,uMm5I9C7MDQ,1,-4.0874753,0.0010575091000646,6.3294,both_low,unset,,0
uQ-mD4O0Lpw_000,uQ-mD4O0Lpw,1,-1.0302908,0.0140757309272885,16.0792,panns_high_only,unset,,0
uQ-mD4O0Lpw_005,uQ-mD4O0Lpw,1,-3.7264671,0.0008028123411349,6.3577,both_low,unset,,0
uYN_9pBHKG0_006,uYN_9pBHKG0,1,1.670572,0.009569788351655,5.2225,both_high,unset,,0
v5Wx3MKlBuM_009,v5Wx3MKlBuM,1,-2.6460371,0.0010856934823095,43.3493,both_low,unset,,0
v5Wx3MKlBuM_011,v5Wx3MKlBuM,1,-2.400759,0.0010989351430907,10.9101,mid,unset,,0
w4hCyh2PlaI_001,w4hCyh2PlaI,1,-3.941839,0.0009984704665839,6.2457,both_low,unset,,0
x3lXIRulmQk_007,x3lXIRulmQk,1,-2.2718852,0.0221087746322155,12.4888,panns_high_only,unset,,0
xGhoDgFe8GQ_004,xGhoDgFe8GQ,1,0.82430857,0.0654525458812713,12.3759,both_high,unset,,0
xGhoDgFe8GQ_005,xGhoDgFe8GQ,1,0.1114118,0.078236885368824,9.9406,both_high,unset,,0
yQX1MseKbh0_001,yQX1MseKbh0,1,-1.8796412,0.0675950571894645,8.1932,panns_high_only,unset,,0
yQX1MseKbh0_003,yQX1MseKbh0,1,-0.60337776,0.0438358522951602,8.5677,panns_high_only,unset,,0
yQX1MseKbh0_011,yQX1MseKbh0,1,0.7640754,0.0013514013262465,5.5015,clap_high_only,unset,,0
yQX1MseKbh0_014,yQX1MseKbh0,1,-0.81000638,0.0032624264713376,38.0187,mid,unset,,0
yQX1MseKbh0_016,yQX1MseKbh0,1,1.1428907,0.0015286984853446,12.896,clap_high_only,unset,,0
z0d7n9QxYiE_009,z0d7n9QxYiE,0,4.3538289,0.3384808599948883,48.069,both_high,unset,,0
zLH6UBjv7iM_005,zLH6UBjv7iM,0,-2.4723134,0.000664375082124,42.8659,mid,unset,,0
